City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
202,saint-philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
205,rio grande,BR,77.0,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
207,talara,PE,87.8,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
208,salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
210,sorong,ID,78.87,overcast clouds,-0.8833,131.25,waigo splash hotel
212,nabire,ID,74.82,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
213,najran,SA,84.2,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
218,kutum,SD,78.94,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
220,carauari,BR,84.6,overcast clouds,-4.8828,-66.8958,Hotel Fellip
221,niquelandia,BR,85.03,broken clouds,-14.4739,-48.4597,Hotel Suinã
223,porto novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
226,monkey bay,MW,76.57,overcast clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
227,bafia,CM,75.63,moderate rain,4.75,11.2333,Ets MAISON BLANCHE
228,valle hermoso,MX,84.0,scattered clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
230,pimentel,PE,77.0,broken clouds,-6.8367,-79.9342,Casona Del Muelle
234,sembe,CG,80.6,light rain,1.6481,14.5806,
235,caravelas,BR,82.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
236,sertanopolis,BR,86.0,clear sky,-23.0586,-51.0364,HOTEL SERTANÓPOLIS
238,tarakan,ID,77.0,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
240,los algarrobos,PA,84.2,scattered clouds,8.5,-82.4333,Waterfall Hostel
243,camaqua,BR,85.41,overcast clouds,-30.8511,-51.8122,Bartz Hotel
245,boyuibe,BO,86.0,broken clouds,-20.4167,-63.2833,Residencial Eluzai
246,lake city,US,79.0,broken clouds,30.1897,-82.6393,Ramada Limited Lake City
248,phuket,TH,88.0,scattered clouds,8.0,98.25,The Surin Phuket
254,georgetown,MY,80.01,moderate rain,5.4112,100.3354,Cititel Penang
257,sao joao da barra,BR,86.0,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
262,tacuarembo,UY,87.51,moderate rain,-31.7333,-55.9833,Complejo San Fructuoso
270,namatanai,PG,78.24,light rain,-3.6667,152.4333,Namatanai Hotel
271,saint-georges,GD,87.8,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
273,bela,IN,84.96,clear sky,25.9333,81.9833,Raj Bhawan
274,bandarbeyla,SO,80.11,few clouds,9.4942,50.8122,JABIR HOTEL
276,gambela,ET,89.1,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
278,samana,DO,80.6,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
280,vila velha,BR,82.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
281,manavalakurichi,IN,84.2,mist,8.1333,77.3,Udaya Boys Hostel
282,trincomalee,LK,82.58,clear sky,8.5711,81.2335,Welcombe Hotel
283,maragogi,BR,80.85,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
284,karratha,AU,83.44,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
285,boa vista,BR,89.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
286,honiara,SB,77.7,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
289,kununurra,AU,71.6,broken clouds,-15.7667,128.7333,Hotel Kununurra
290,chimore,BO,75.87,overcast clouds,-16.9833,-65.1333,Bichito
291,wattegama,LK,74.73,scattered clouds,6.7989,81.4808,
292,roebourne,AU,83.39,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
302,nizwa,OM,82.85,few clouds,22.9333,57.5333,Orient Apartments
307,dataganj,IN,82.83,clear sky,28.0333,79.4,Hani Traders
310,souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
311,vinh,VN,72.5,scattered clouds,18.6667,105.6667,Khách Sạn Thương Mại
313,zabid,YE,82.98,broken clouds,14.1951,43.3152,دار الضيافة
314,merauke,ID,78.57,overcast clouds,-8.4667,140.3333,PC
318,mbandaka,CD,78.6,overcast clouds,0.0487,18.2603,Guest House Epervier
320,mount isa,AU,77.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
325,antofagasta,CL,73.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
328,port-gentil,GA,86.0,light rain,-0.7193,8.7815,Fengshui Residence
333,andrelandia,BR,75.69,clear sky,-21.7397,-44.3092,Mônica Hotel
337,tezu,IN,70.86,scattered clouds,27.9167,96.1667,Circuit House
338,gwadar,PK,79.14,clear sky,25.1216,62.3254,Sadaf Resort
339,alofi,NU,73.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
341,inhambane,MZ,80.01,few clouds,-23.865,35.3833,Oceano
343,antalaha,MG,75.9,light rain,-14.9003,50.2788,Hotel Vitasoa
345,hinesville,US,81.0,broken clouds,31.8469,-81.5959,Holiday Inn Express & Suites Hinesville East - Fort Stewart
348,matadi,CD,76.82,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
350,broome,US,70.0,clear sky,42.2506,-75.833,Chenango Valley State Park
352,fare,PF,81.48,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
353,manta,EC,84.2,scattered clouds,-0.95,-80.7333,Balandra Hotel
354,acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
357,pedernales,DO,82.13,scattered clouds,18.0384,-71.744,Hotel Costa Marina
358,cleveland,US,78.8,clear sky,41.4995,-81.6954,Renaissance Cleveland Hotel
359,the valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
361,cairns,AU,77.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
362,gold coast,AU,70.0,few clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
363,grand gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
365,galesong,ID,75.2,few clouds,-5.3166,119.3661,Sapriadi Appy
