City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2021-04-08 01:57:15,-2.5744,150.7967,80.29,75,100,18.54
68,Castro,BR,2021-04-08 01:57:16,-24.7911,-50.0119,57.22,96,9,9.73
69,Nioro,GM,2021-04-08 01:57:16,13.35,-15.75,77.76,45,2,5.35
70,Bay Roberts,CA,2021-04-08 01:57:16,47.5999,-53.2648,37.0,100,79,3.0
71,Weihe,CN,2021-04-08 01:57:17,32.9952,105.3247,49.03,84,100,3.06
72,Boshnyakovo,RU,2021-04-08 01:57:18,49.6333,142.1667,33.15,58,100,8.7
73,Torbay,CA,2021-04-08 01:57:18,47.6666,-52.7314,37.0,100,90,12.66
74,Kapaa,US,2021-04-08 01:57:18,22.0752,-159.319,75.2,64,75,19.57
75,Aklavik,CA,2021-04-08 01:57:19,68.2191,-135.0107,8.6,47,40,3.44
76,Barinas,VE,2021-04-08 01:57:19,8.6226,-70.2075,77.0,100,93,1.14
77,San Cristobal,VE,2021-04-08 01:57:20,7.7669,-72.225,78.8,94,40,3.44
78,Dullewala,PK,2021-04-08 01:57:20,31.8359,71.4362,70.12,34,2,5.97
79,Chuy,UY,2021-04-08 01:57:20,-33.6971,-53.4616,69.55,83,0,12.75
80,Valky,UA,2021-04-08 01:57:21,49.8387,35.6207,37.4,75,90,15.66
81,Laguna,US,2021-04-08 01:57:21,38.421,-121.4238,62.01,48,11,5.01
82,Kapit,MY,2021-04-08 01:57:21,2.0167,112.9333,80.92,78,100,0.96
83,Tarrafal,CV,2021-04-08 01:57:22,15.2833,-23.7667,73.4,46,0,17.27
84,Havelock,US,2021-04-08 01:57:22,34.8791,-76.9013,69.8,43,1,5.14
85,Aguimes,ES,2021-04-08 01:57:23,27.9054,-15.4461,66.0,72,20,3.44
86,Houma,US,2021-04-08 01:54:47,29.5958,-90.7195,73.99,88,90,13.8
87,Bonthe,SL,2021-04-08 01:57:23,7.5264,-12.505,78.96,87,88,5.28
88,Mar Del Plata,AR,2021-04-08 01:56:55,-38.0023,-57.5575,70.0,88,4,6.91
89,Busselton,AU,2021-04-08 01:57:24,-33.65,115.3333,64.0,77,24,5.01
90,Tasiilaq,GL,2021-04-08 01:57:24,65.6145,-37.6368,14.0,62,12,5.75
