,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,kumphawapi,TH,17.1087,103.0149,84.0,75,44,5.01,scattered clouds
82,ponta do sol,PT,32.6667,-17.1,66.99,65,45,5.99,scattered clouds
83,huarmey,PE,-10.0681,-78.1522,73.96,78,87,8.32,overcast clouds
84,tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,5.75,broken clouds
85,armizonskoye,RU,55.9461,67.6736,33.98,99,100,6.62,overcast clouds
86,morondava,MG,-20.2833,44.2833,80.28,73,60,10.33,broken clouds
87,mecca,SA,21.4267,39.8261,80.15,39,1,10.78,clear sky
88,carnarvon,AU,-24.8667,113.6333,77.0,83,96,13.8,overcast clouds
89,kamenka,RU,51.3223,42.7678,44.01,82,97,13.6,overcast clouds
90,orange,US,33.7,-117.7675,68.0,68,75,4.65,broken clouds
91,kanigoro,ID,-8.13,112.219,74.07,94,54,3.24,broken clouds
92,ushuaia,AR,-54.8,-68.3,53.6,54,40,8.05,scattered clouds
93,faya,SA,18.3851,42.4509,69.8,48,20,6.91,few clouds
94,dabakala,CI,8.3667,-4.4333,100.08,24,100,0.31,overcast clouds
95,ponta delgada,PT,37.7333,-25.6667,62.6,94,75,10.36,broken clouds
96,kodiak,US,57.79,-152.4072,28.4,69,90,3.18,overcast clouds
97,murgab,TM,37.4966,61.9714,68.0,45,28,4.61,scattered clouds
98,tasiilaq,GL,65.6145,-37.6368,33.8,60,75,2.3,broken clouds
99,rabo de peixe,PT,37.8,-25.5833,62.6,94,75,10.36,broken clouds
100,guymon,US,36.6828,-101.4816,55.4,22,1,5.95,clear sky
101,kavieng,PG,-2.5744,150.7967,78.19,87,100,12.19,light rain
102,puerto ayora,EC,-0.7393,-90.3518,79.0,88,29,14.0,scattered clouds
103,tiksi,RU,71.6872,128.8694,-18.02,99,71,5.26,broken clouds
104,biak,ID,-0.9131,122.8766,76.95,84,100,1.66,overcast clouds
105,nouakchott,MR,18.0858,-15.9785,82.4,44,87,20.71,overcast clouds
106,tabas,IR,33.5959,56.9244,80.64,17,47,3.36,scattered clouds
107,martapura,ID,-3.4167,114.85,77.0,94,90,2.3,overcast clouds
108,joensuu,FI,62.6012,29.7632,35.6,75,20,8.05,few clouds
109,nantucket,US,41.2835,-70.0995,50.0,81,90,13.8,overcast clouds
110,palana,RU,59.1167,159.9667,-0.99,98,94,4.38,overcast clouds
111,henties bay,NA,-22.116,14.2845,73.99,64,0,5.99,clear sky
112,marsh harbour,BS,26.5412,-77.0636,76.14,63,2,16.98,clear sky
113,airai,TL,-8.9266,125.4092,57.45,79,31,1.32,scattered clouds
